tray,fish.id,tray.position,sample.mass.mg,c.content.mg,c.content.perc,d13C,n.content.mg,n.content.perc,d15N,c.n,duplicate,
250327_BOEM_2,MOF001,C10,1,0.45,45.52,-18.06,0.14,14.36,8.46,3.17,,
250327_BOEM_2,MOF002,C11,1.03,0.47,45.62,-18.46,0.14,13.92,10.95,3.28,,
250327_BOEM_2,MOF003,C12,1.05,0.46,44.48,-18.14,0.14,13.68,10.04,3.25,,
250327_BOEM_2,MOF004,D1,0.99,0.45,45.29,-18.76,0.14,13.93,10.17,3.25,,
250327_BOEM_2,MOF005,D5,1.03,0.47,45.67,-18.35,0.14,13.62,9.79,3.35,,
250327_BOEM_2,MOF006,D6,1.03,0.47,45.69,-18.97,0.14,13.86,9.48,3.3,,
250327_BOEM_2,MOF007,D7,1.04,0.48,46.32,-18.33,0.15,14.3,10.62,3.24,,
250327_BOEM_2,MOF008,D8,1,0.46,46.52,-18.3,0.14,14.42,9.48,3.23,,
250327_BOEM_2,MOF009,D9,0.98,0.45,46.27,-18.89,0.14,14.31,9.81,3.23,Y,
250327_BOEM_2,SPO001,A9,0.97,0.44,45.62,-16.73,0.14,14.45,7.77,3.16,Y,
250327_BOEM_2,SPO002,A11,0.95,0.43,45.15,-17.63,0.14,14.35,7.35,3.15,,
250327_BOEM_2,SPO003,A12,0.99,0.45,45.45,-20.28,0.14,14.55,8.67,3.12,,
250327_BOEM_2,SPO004,B1,1.01,0.45,45.22,-18.47,0.14,14.27,8.29,3.17,,
250327_BOEM_2,SPO005,B2,1.01,0.45,44.51,-17.09,0.14,14.11,9.12,3.15,,
250327_BOEM_2,SPO006,B5,0.99,0.45,45.15,-17.26,0.14,14.27,10.85,3.16,,
250327_BOEM_2,SPO007,B6,0.96,0.44,45.89,-22.34,0.14,14.55,8.46,3.15,,
250327_BOEM_2,SPO008,B7,1.04,0.47,45.07,-18.75,0.15,14.28,9.31,3.16,,
250327_BOEM_2,THH001,B8,1.03,0.45,44.03,-17.32,0.14,13.94,6.82,3.16,,
250327_BOEM_2,THH002,B9,1.04,0.48,46.1,-18.31,0.15,13.99,7.17,3.29,,
250327_BOEM_2,THH003,C1,1.09,0.49,45.41,-20.26,0.16,14.57,6.87,3.12,,
250327_BOEM_2,THH004,C2,1.04,0.47,45.43,-18.82,0.15,14.61,6.83,3.11,,
250327_BOEM_2,THH005,C3,0.98,0.46,46.77,-18.75,0.14,14.02,7.9,3.34,,
250327_BOEM_2,THH006,C4,0.94,0.44,46.44,-16.78,0.14,14.61,7.59,3.18,,
250327_BOEM_2,THH007,C5,0.95,0.44,46.38,-18.8,0.14,14.8,6.92,3.13,,
250327_BOEM_2,THH008,C6,1.07,0.5,46.23,-19.06,0.16,14.71,5.79,3.14,,
250327_BOEM_2,THH009,C9,0.94,0.43,45.43,-19.86,0.14,14.55,6.65,3.12,,
250327_BOEM_3,LIZ001,C10,1.06,0.49,46,-19.06,0.16,14.92,8.21,3.08,,
250327_BOEM_3,LIZ002,C11,1.08,0.5,46.31,-18.92,0.16,15.08,9.59,3.07,,
250327_BOEM_3,LIZ003,C12,1.04,0.48,46.21,-18.65,0.16,15.14,6.3,3.05,,
250327_BOEM_3,LIZ004,D1,1.04,0.48,46.1,-18.36,0.16,15.01,7.95,3.07,,
250327_BOEM_3,LIZ005,D5,1.14,0.52,45.66,-19.14,0.17,14.8,8.17,3.08,,
250327_BOEM_3,LIZ006,D6,0.99,0.44,44.43,-18.43,0.14,14.43,7.82,3.08,,
250327_BOEM_3,LIZ007,D7,1.11,0.51,46.09,-18.91,0.17,14.9,8.05,3.09,,
250327_BOEM_3,LIZ008,D8,1.11,0.51,45.98,-18.9,0.16,14.83,8.16,3.1,,
250327_BOEM_3,LIZ009,D9,1.08,0.49,45.5,-18.67,0.16,14.67,8.01,3.1,,
250327_BOEM_3,PIG001,A9,1.06,0.48,45.41,-18.55,0.16,14.72,7.23,3.09,,
250327_BOEM_3,PIG002,A11,1.06,0.47,44.6,-18.27,0.15,14.36,7.43,3.11,,
250327_BOEM_3,PIG003,A12,0.98,0.45,45.84,-18.11,0.14,14.73,7.17,3.11,,
250327_BOEM_3,PIG004,B1,0.98,0.45,46.62,-17.72,0.15,14.91,8.62,3.13,,
250327_BOEM_3,PIG005,B2,1.08,0.51,47.16,-18.49,0.15,14.11,10.68,3.34,,
250327_BOEM_3,PIG006,B5,1.03,0.47,45.52,-19.03,0.15,14.77,9.1,3.08,,
250327_BOEM_3,PIG007,B6,1.13,0.51,45.35,-18.04,0.17,14.76,8.34,3.07,,
250327_BOEM_3,PIG008,B7,0.99,0.44,45.04,-17.11,0.14,14.4,6.66,3.13,,
250327_BOEM_3,WEF001,B8,1.11,0.51,45.86,-18.86,0.16,14.67,8.19,3.13,,
250327_BOEM_3,WEF002,B9,1.12,0.51,46.12,-18.39,0.17,14.81,8.88,3.11,,
250327_BOEM_3,WEF003,C1,1.06,0.49,46.29,-18.87,0.16,14.9,8.4,3.11,,
250327_BOEM_3,WEF004,C2,1.07,0.5,46.57,-18.85,0.15,14.3,10.42,3.26,,
250327_BOEM_3,WEF005,C3,1.01,0.47,46.3,-18.76,0.15,14.85,8.92,3.12,,
250327_BOEM_3,WEF006,C4,1.1,0.51,46.33,-18.84,0.16,14.86,10.44,3.12,,
250327_BOEM_3,WEF007,C5,1.08,0.5,46.54,-18.32,0.16,15.01,8.23,3.1,,
250327_BOEM_3,WEF008,C6,1.1,0.51,46.21,-18.77,0.16,14.65,9,3.15,,
250327_BOEM_3,WEF009,C9,1.09,0.5,46.05,-18.5,0.16,14.76,9.71,3.12,,
250404_BOEM_Spot_1,SPO009,A9,1.05,0.48,45.88,-19.64,0.15,14.2,11.06,3.23,Y,
250404_BOEM_Spot_1,SPO010,A11,1.03,0.46,45.23,-17.31,0.15,14.16,8.96,3.19,,
250404_BOEM_Spot_1,SPO011,A12,0.99,0.45,45.09,-24.07,0.14,14.16,9.4,3.18,,
250404_BOEM_Spot_1,SPO012,B1,1.07,0.49,45.34,-26.22,0.16,14.45,10.98,3.14,,
250404_BOEM_Spot_1,SPO013,B2,1.01,0.44,43.7,-19.17,0.14,13.8,10.57,3.17,,
250404_BOEM_Spot_1,SPO014,B5,1.03,0.47,45.36,-18.55,0.15,14.23,8.63,3.19,,
250404_BOEM_Spot_1,SPO015,B6,1.03,0.45,43.92,-18.3,0.14,13.65,10.8,3.22,,
250404_BOEM_Spot_1,SPO016,B7,1.06,0.42,40.18,-19.99,0.13,12.7,8.47,3.16,,
250404_BOEM_Spot_1,SPO017,B8,1,0.44,44.09,-20.16,0.14,13.93,12.97,3.16,,
250404_BOEM_Spot_1,SPO018,B9,1.03,0.47,45.7,-16.81,0.15,14.33,9.67,3.19,,
250404_BOEM_Spot_1,SPO019,C1,1,0.45,45.12,-20.44,0.14,14.3,8.33,3.16,,
250404_BOEM_Spot_1,SPO020,C2,1.01,0.46,45.5,-22.46,0.15,14.49,13.86,3.14,,
250404_BOEM_Spot_1,SPO021,C3,0.97,0.42,43.65,-22.52,0.13,13.84,10.17,3.15,,
250404_BOEM_Spot_1,SPO022,C4,0.97,0.43,44.76,-19.17,0.14,14.06,11.01,3.18,,
250404_BOEM_Spot_1,SPO023,C5,1,0.47,46.69,-19.63,0.13,13.02,14.25,3.58,,
250404_BOEM_Spot_1,SPO024,C6,0.97,0.44,45.74,-19.71,0.14,14.39,12.28,3.18,,
250404_BOEM_Spot_1,SPO025,C9,1.02,0.43,41.85,-18.1,0.13,13.18,11.84,3.17,,
250404_BOEM_Spot_1,SPO026,C10,1.07,0.5,46.64,-19.62,0.15,14.39,12.31,3.24,,
250404_BOEM_Spot_1,SPO027,C11,1.05,0.48,45.43,-21.3,0.14,13.85,11.13,3.28,,
250404_BOEM_Spot_1,SPO028,C12,1.06,0.49,45.99,-20.73,0.15,14.58,9.82,3.16,,
250404_BOEM_Spot_1,SPO029,D1,0.95,0.43,45.23,-16.07,0.13,14.15,8.69,3.2,,
250404_BOEM_Spot_1,SPO030,D5,1.06,0.48,44.98,-16.79,0.15,14.47,7.09,3.11,,
250404_BOEM_Spot_1,SPO031,D6,1.02,0.47,45.62,-18.85,0.15,14.43,9.16,3.16,,
250404_BOEM_Spot_1,SPO032,D7,1.05,0.47,44.82,-20.67,0.15,14.35,9.44,3.12,,
250404_BOEM_Spot_1,SPO033,D8,0.93,0.41,44.53,-18.87,0.13,14.25,11.25,3.12,,
250404_BOEM_Spot_1,SPO034,D9,1.03,0.47,45.34,-18.56,0.15,14.74,6.97,3.08,Y,
250407_BOEM_THH_1,THH010,A9,0.94,0.42,45.06,-18.53,0.13,13.94,7.34,3.23,Y,
250407_BOEM_THH_1,THH011,A11,1.01,0.44,43.89,-19.13,0.14,13.46,7.26,3.26,,
250407_BOEM_THH_1,THH012,A12,0.97,0.44,44.99,-18.43,0.14,14.09,7.06,3.19,,
250407_BOEM_THH_1,THH013,B1,1,0.44,44.1,-17.86,0.14,13.81,7.6,3.19,,
250407_BOEM_THH_1,THH014,B2,1,0.43,43.35,-19.64,0.14,13.61,7.23,3.18,,
250407_BOEM_THH_1,THH015,B5,0.98,0.44,45.45,-18.95,0.14,14.08,7.72,3.23,,
250407_BOEM_THH_1,THH016,B6,0.97,0.43,44.39,-18.25,0.13,13.82,7.89,3.21,,
250407_BOEM_THH_1,THH017,B7,0.94,0.42,44.52,-17.74,0.13,13.8,8.18,3.23,,
250407_BOEM_THH_1,THH018,B8,0.99,0.45,45.11,-18.98,0.14,13.87,8.03,3.25,,
250407_BOEM_THH_1,THH019,B9,1.06,0.46,43.86,-18.21,0.15,13.9,8.27,3.16,,
250407_BOEM_THH_1,THH020,C1,1.05,0.46,43.76,-17.96,0.14,13.71,8.29,3.19,,
250407_BOEM_THH_1,THH021,C2,0.93,0.4,42.8,-18.67,0.12,13.32,7.96,3.21,,
250407_BOEM_THH_1,THH022,C3,0.96,0.42,43.75,-19.19,0.13,13.65,8.93,3.21,,
250407_BOEM_THH_1,THH023,C4,0.96,0.42,44.26,-18.74,0.13,13.88,10.05,3.19,,
250407_BOEM_THH_1,THH024,C5,1.03,0.44,43.05,-18.12,0.14,13.47,8.12,3.2,,
250407_BOEM_THH_1,THH025,C6,1.02,0.45,44.29,-18.97,0.14,13.84,8.18,3.2,,
250407_BOEM_THH_1,THH026,C9,1,0.44,44.13,-17.9,0.14,13.78,8.08,3.2,,
250407_BOEM_THH_1,THH027,C10,0.92,0.41,43.92,-18.08,0.13,13.64,8.92,3.22,,
250407_BOEM_THH_1,THH028,C11,1.05,0.46,43.58,-18.95,0.14,13.6,9.21,3.2,,
250407_BOEM_THH_1,THH031,D5,1.05,0.46,43.27,-20.44,0.14,13.59,12.83,3.18,,
250407_BOEM_THH_1,THH032,D6,1,0.44,43.44,-19.39,0.14,13.49,12.68,3.22,,
250407_BOEM_THH_1,THH033,D7,1.04,0.46,44.17,-19.42,0.14,13.68,8.52,3.23,,
250407_BOEM_THH_1,THH034,D8,0.92,0.4,43.72,-20.9,0.12,13.42,13.58,3.26,,
250407_BOEM_THH_1,THH035,D9,1.02,0.44,42.98,-20.5,0.14,13.26,12.81,3.24,Y,
250410_BOEM_1b,ATB001,A9,0.77,0.35,45.03,-19.11,0.11,14.2,11.76,3.17,Y,
250410_BOEM_1b,ATB002,A11,0.71,0.32,44.97,-17.91,0.1,13.9,12.23,3.23,,
250410_BOEM_1b,ATB003,A12,0.78,0.35,45.17,-18.47,0.11,13.81,11.51,3.27,,
250410_BOEM_1b,ATB004,B1,0.71,0.32,45.3,-18.33,0.1,14.02,11.76,3.23,,
250410_BOEM_1b,ATB005,B2,0.71,0.32,44.98,-18.68,0.1,13.91,11.83,3.23,,
250410_BOEM_1b,ATB006,B5,0.66,0.29,44.37,-18.2,0.09,13.87,11.09,3.2,,
250410_BOEM_1b,ATB007,B6,0.77,0.35,44.98,-19.06,0.11,13.92,11.45,3.23,,
250410_BOEM_1b,ATB008,B7,0.63,0.29,45.11,-18.62,0.09,14.1,11.64,3.2,,
250410_BOEM_1b,CRO001,B8,0.63,0.28,45.08,-18.55,0.09,14.09,12.45,3.2,,
250410_BOEM_1b,CRO002,B9,0.78,0.35,44.26,-20.1,0.11,13.92,11.47,3.18,,
250410_BOEM_1b,CRO003,C1,0.76,0.35,45.78,-19.4,0.11,14.45,9.74,3.17,,
250410_BOEM_1b,CRO004,C2,0.74,0.33,44.24,-17.83,0.1,13.92,12.75,3.18,,
250410_BOEM_1b,CRO005,C3,0.67,0.29,43.95,-18.61,0.09,13.78,12.37,3.19,,
250410_BOEM_1b,CRO006,C4,0.73,0.34,46.25,-18.36,0.11,14.39,12.6,3.21,,
250410_BOEM_1b,CRO007,C5,0.65,0.29,44.63,-18.34,0.09,14.12,14.01,3.16,,
250410_BOEM_1b,CRO008,C6,0.66,0.3,45.7,-18.76,0.09,14.31,12.26,3.19,,
250410_BOEM_1b,CRO009,C9,0.73,0.33,45.49,-19.09,0.1,14.3,12.38,3.18,,
250410_BOEM_1b,PIN001,C10,0.7,0.32,46.06,-18.61,0.1,14.22,10.87,3.24,,
250410_BOEM_1b,PIN002,C11,0.76,0.35,46.13,-19.59,0.11,14.54,9.41,3.17,,
250410_BOEM_1b,PIN003,C12,0.72,0.33,46.24,-17.66,0.1,14.54,11.84,3.18,,
250410_BOEM_1b,PIN004,D1,0.63,0.28,44.91,-17.29,0.09,14.13,10,3.18,,
250410_BOEM_1b,PIN005,D5,0.71,0.31,44.36,-18.08,0.1,13.75,10.54,3.22,,
250410_BOEM_1b,PIN006,D6,0.78,0.36,45.69,-17.86,0.11,14.41,11.12,3.17,,
250410_BOEM_1b,PIN007,D7,0.74,0.33,44.99,-17.44,0.1,14.12,11.49,3.19,,
250410_BOEM_1b,PIN008,D8,0.77,0.35,45.43,-18.19,0.11,14.15,11.28,3.21,,
250410_BOEM_1b,PIN009,D9,0.75,0.33,44.22,-19.35,0.1,13.94,11.46,3.17,Y,
250410_BOEM_THH_2,THH036,A9,1.08,0.49,44.94,-21.13,0.15,14.09,14.14,3.19,Y,
250410_BOEM_THH_2,THH037,A11,1.08,0.49,45.04,-19.4,0.15,14.14,10.37,3.18,,
250410_BOEM_THH_2,THH038,A12,0.96,0.43,44.84,-22.82,0.13,14.03,15.35,3.2,,
250410_BOEM_THH_2,THH039,B1,1.08,0.48,44.47,-22.24,0.15,14.06,12.19,3.16,,
250410_BOEM_THH_2,THH040,B2,1.02,0.46,45.36,-19.82,0.14,14.24,13.44,3.19,,
250410_BOEM_THH_2,THH041,B5,0.99,0.45,45.38,-21.16,0.14,14.32,12.45,3.17,,
250410_BOEM_THH_2,THH042,B6,0.96,0.43,44.7,-19.94,0.14,14.09,11.72,3.17,,
250410_BOEM_THH_2,THH043,B7,1.06,0.47,44.61,-19.6,0.15,13.97,13.09,3.19,,
